,station_index,pm2_5_AVG,pm10_0_atm,date,name,latitude,longitude,altitude,pm2_5_station_median,pm10_0_station_median,pm10_0_daily_median,pm10_0_diff,pm2_5_daily_median,pm2_5_diff,way,distance
67,3225,4.3,5.8,2017-11-21,Wilburton,47.614223,-122.1695,210,3.8,5.1,6.5,-0.7000000000000002,4.75,-0.4500000000000002,623957745,1.4283923854838974
68,3225,2.6,3.4,2017-11-22,Wilburton,47.614223,-122.1695,210,3.8,5.1,6.55,-3.15,4.9,-2.3000000000000003,623957745,1.4283923854838974
69,3225,1.2,1.5,2017-11-23,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.85,-0.3500000000000001,1.45,-0.25,623957745,1.4283923854838974
70,3225,1.2,1.6,2017-11-24,Wilburton,47.614223,-122.1695,210,3.8,5.1,1.85,-0.25,1.35,-0.1500000000000001,623957745,1.4283923854838974
71,3225,2.0,2.6,2017-11-25,Wilburton,47.614223,-122.1695,210,3.8,5.1,4.05,-1.4499999999999995,3.05,-1.0499999999999998,623957745,1.4283923854838974
72,3225,4.0,5.4,2017-11-26,Wilburton,47.614223,-122.1695,210,3.8,5.1,7.0,-1.5999999999999996,5.1,-1.0999999999999996,623957745,1.4283923854838974
73,3225,1.5,1.9,2017-11-27,Wilburton,47.614223,-122.1695,210,3.8,5.1,2.05,-0.1499999999999999,1.6,-0.1,623957745,1.4283923854838974
74,3225,1.9,2.6,2017-11-28,Wilburton,47.614223,-122.1695,210,3.8,5.1,3.5,-0.8999999999999999,2.55,-0.6499999999999999,623957745,1.4283923854838974
75,3225,2.1,2.9,2017-11-29,Wilburton,47.614223,-122.1695,210,3.8,5.1,4.05,-1.15,2.9000000000000004,-0.8000000000000003,623957745,1.4283923854838974
76,3225,2.6,3.6,2017-11-30,Wilburton,47.614223,-122.1695,210,3.8,5.1,5.55,-1.95,4.0,-1.4,623957745,1.4283923854838974
77,3225,3.3,4.5,2017-12-01,Wilburton,47.614223,-122.1695,210,3.8,5.1,5.25,-0.75,3.8,-0.5,623957745,1.4283923854838974
78,3225,2.5,3.3,2017-12-02,Wilburton,47.614223,-122.1695,210,3.8,5.1,4.55,-1.25,3.35,-0.8500000000000001,623957745,1.4283923854838974
79,3225,4.5,6.1,2017-12-03,Wilburton,47.614223,-122.1695,210,3.8,5.1,4.9,1.1999999999999993,3.65,0.8500000000000001,623957745,1.4283923854838974
80,3225,9.8,13.8,2017-12-04,Wilburton,47.614223,-122.1695,210,3.8,5.1,18.25,-4.449999999999999,12.5,-2.6999999999999997,623957745,1.4283923854838974
